REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,158.8,,,,1
2024-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,161.4,,,,1
2025-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,161.3,,,,1
2026-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,169.0,,,,1
2024-02,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,188.1,,,,1
2024-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,190.0,,,,1
2025-01,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,187.0,,,,1
2026-06,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,202.4,,,,1
2024-02,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,179.2,,,,1
2024-06,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,182.1,,,,1
2025-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,186.4,,,,1
2026-06,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,190.2,,,,1
